Index,ICD-10 Code,Top10,DiagnosisEntity,CCSR Category,Diagnosis,Notes
1500,H21249,Degenerations of iris and ciliary body,iris/CB degenerations,EYE012,"Degeneration of pupillary margin, unspecified eye               ",
1501,H21251,Degenerations of iris and ciliary body,iris/CB degenerations,EYE012,"Iridoschisis, right eye                  ",
1502,H21252,Degenerations of iris and ciliary body,iris/CB degenerations,EYE012,"Iridoschisis, left eye                  ",
1503,H21253,Degenerations of iris and ciliary body,iris/CB degenerations,EYE012,"Iridoschisis, bilateral                   ",
1504,H21259,Degenerations of iris and ciliary body,iris/CB degenerations,EYE012,"Iridoschisis, unspecified eye                  ",
1505,H21261,Degenerations of iris and ciliary body,iris/CB degenerations,EYE012,"Iris atrophy (essential) (progressive), right eye               ",
1506,H21262,Degenerations of iris and ciliary body,iris/CB degenerations,EYE012,"Iris atrophy (essential) (progressive), left eye               ",
1507,H21263,Degenerations of iris and ciliary body,iris/CB degenerations,EYE012,"Iris atrophy (essential) (progressive), bilateral                ",
1508,H21269,Degenerations of iris and ciliary body,iris/CB degenerations,EYE012,"Iris atrophy (essential) (progressive), unspecified eye               ",
1509,H21271,Degenerations of iris and ciliary body,iris/CB degenerations,EYE012,"Miotic pupillary cyst, right eye                ",
1510,H21272,Degenerations of iris and ciliary body,iris/CB degenerations,EYE012,"Miotic pupillary cyst, left eye                ",
1511,H21273,Degenerations of iris and ciliary body,iris/CB degenerations,EYE012,"Miotic pupillary cyst, bilateral                 ",
1512,H21279,Degenerations of iris and ciliary body,iris/CB degenerations,EYE012,"Miotic pupillary cyst, unspecified eye                ",
1513,H2129,Degenerations of iris and ciliary body,iris/CB degenerations,EYE012,Other iris atrophy                  ,
1514,H21301,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Idiopathic cysts of iris, ciliary body or anterior chamber, right eye          ",
1515,H21302,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Idiopathic cysts of iris, ciliary body or anterior chamber, left eye          ",
1516,H21303,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Idiopathic cysts of iris, ciliary body or anterior chamber, bilateral           ",
1517,H21309,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Idiopathic cysts of iris, ciliary body or anterior chamber, unspecified eye          ",
1518,H21311,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Exudative cysts of iris or anterior chamber, right eye            ",
1519,H21312,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Exudative cysts of iris or anterior chamber, left eye            ",
1520,H21313,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Exudative cysts of iris or anterior chamber, bilateral             ",
1521,H21319,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Exudative cysts of iris or anterior chamber, unspecified eye            ",
1522,H21321,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Implantation cysts of iris, ciliary body or anterior chamber, right eye          ",
1523,H21322,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Implantation cysts of iris, ciliary body or anterior chamber, left eye          ",
1524,H21323,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Implantation cysts of iris, ciliary body or anterior chamber, bilateral           ",
1525,H21329,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Implantation cysts of iris, ciliary body or anterior chamber, unspecified eye          ",
1526,H21331,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Parasitic cyst of iris, ciliary body or anterior chamber, right eye          ",
1527,H21332,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Parasitic cyst of iris, ciliary body or anterior chamber, left eye          ",
1528,H21333,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Parasitic cyst of iris, ciliary body or anterior chamber, bilateral           ",
1529,H21339,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Parasitic cyst of iris, ciliary body or anterior chamber, unspecified eye          ",
1530,H21341,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Primary cyst of pars plana, right eye              ",
1531,H21342,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Primary cyst of pars plana, left eye              ",
1532,H21343,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Primary cyst of pars plana, bilateral               ",
1533,H21349,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Primary cyst of pars plana, unspecified eye              ",
1534,H21351,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Exudative cyst of pars plana, right eye              ",
1535,H21352,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Exudative cyst of pars plana, left eye              ",
1536,H21353,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Exudative cyst of pars plana, bilateral               ",
1537,H21359,Cysts of iris ciliary body and anterior chamber,iris/CB/anterior chamber cysts,EYE012,"Exudative cyst of pars plana, unspecified eye              ",
1538,H2140,Adhesions and disruptions of iris and ciliary body,iris/CB adhesions/disruptions ,EYE012,"Pupillary membranes, unspecified eye                 ",
1539,H2141,Adhesions and disruptions of iris and ciliary body,iris/CB adhesions/disruptions ,EYE012,"Pupillary membranes, right eye                 ",
1540,H2142,Adhesions and disruptions of iris and ciliary body,iris/CB adhesions/disruptions ,EYE012,"Pupillary membranes, left eye                 ",
1541,H2143,Adhesions and disruptions of iris and ciliary body,iris/CB adhesions/disruptions ,EYE012,"Pupillary membranes, bilateral                  ",
1542,H21501,Adhesions and disruptions of iris and ciliary body,iris/CB adhesions/disruptions ,EYE012,"Unspecified adhesions of iris, right eye               ",
1543,H21502,Adhesions and disruptions of iris and ciliary body,iris/CB adhesions/disruptions ,EYE012,"Unspecified adhesions of iris, left eye               ",
1544,H21503,Adhesions and disruptions of iris and ciliary body,iris/CB adhesions/disruptions ,EYE012,"Unspecified adhesions of iris, bilateral                ",
1545,H21509,Adhesions and disruptions of iris and ciliary body,iris/CB adhesions/disruptions ,EYE012,"Unspecified adhesions of iris and ciliary body, unspecified eye            ",
1546,H21511,Adhesions and disruptions of iris and ciliary body,anterior synechiae (iris),EYE012,"Anterior synechiae (iris), right eye                ",
1547,H21512,Adhesions and disruptions of iris and ciliary body,anterior synechiae (iris),EYE012,"Anterior synechiae (iris), left eye                ",
1548,H21513,Adhesions and disruptions of iris and ciliary body,anterior synechiae (iris),EYE012,"Anterior synechiae (iris), bilateral                 ",
1549,H21519,Adhesions and disruptions of iris and ciliary body,anterior synechiae (iris),EYE012,"Anterior synechiae (iris), unspecified eye                ",
1550,H21521,Adhesions and disruptions of iris and ciliary body,goniosynechiae,EYE003,"Goniosynechiae, right eye                  ",
1551,H21522,Adhesions and disruptions of iris and ciliary body,goniosynechiae,EYE003,"Goniosynechiae, left eye                  ",
1552,H21523,Adhesions and disruptions of iris and ciliary body,goniosynechiae,EYE003,"Goniosynechiae, bilateral                   ",
1553,H21529,Adhesions and disruptions of iris and ciliary body,goniosynechiae,EYE003,"Goniosynechiae, unspecified eye                  ",
1554,H21531,Adhesions and disruptions of iris and ciliary body,iridodialysis,EYE003,"Iridodialysis, right eye                  ",
1555,H21532,Adhesions and disruptions of iris and ciliary body,iridodialysis,EYE003,"Iridodialysis, left eye                  ",
1556,H21533,Adhesions and disruptions of iris and ciliary body,iridodialysis,EYE003,"Iridodialysis, bilateral                   ",
1557,H21539,Adhesions and disruptions of iris and ciliary body,iridodialysis,EYE003,"Iridodialysis, unspecified eye                  ",
1558,H21541,Adhesions and disruptions of iris and ciliary body,posterior synechiae (iris),EYE003,"Posterior synechiae (iris), right eye                ",
1559,H21542,Adhesions and disruptions of iris and ciliary body,posterior synechiae (iris),EYE003,"Posterior synechiae (iris), left eye                ",
1560,H21543,Adhesions and disruptions of iris and ciliary body,posterior synechiae (iris),EYE003,"Posterior synechiae (iris), bilateral                 ",
1561,H21549,Adhesions and disruptions of iris and ciliary body,posterior synechiae (iris),EYE003,"Posterior synechiae (iris), unspecified eye                ",
1562,H21551,Adhesions and disruptions of iris and ciliary body,recession of chamber angle,EYE003,"Recession of chamber angle, right eye               ",
1563,H21552,Adhesions and disruptions of iris and ciliary body,recession of chamber angle,EYE003,"Recession of chamber angle, left eye               ",
1564,H21553,Adhesions and disruptions of iris and ciliary body,recession of chamber angle,EYE003,"Recession of chamber angle, bilateral                ",
1565,H21559,Adhesions and disruptions of iris and ciliary body,recession of chamber angle,EYE003,"Recession of chamber angle, unspecified eye               ",
1566,H21561,Adhesions and disruptions of iris and ciliary body,iris/CB adhesions/disruptions ,EYE012,"Pupillary abnormality, right eye                 ",
1567,H21562,Adhesions and disruptions of iris and ciliary body,iris/CB adhesions/disruptions ,EYE012,"Pupillary abnormality, left eye                 ",
1568,H21563,Adhesions and disruptions of iris and ciliary body,iris/CB adhesions/disruptions ,EYE012,"Pupillary abnormality, bilateral                  ",
1569,H21569,Adhesions and disruptions of iris and ciliary body,iris/CB adhesions/disruptions ,EYE012,"Pupillary abnormality, unspecified eye                 ",
1570,H2181,Other disorders of iris and ciliary body,other iris/CB disorders,EYE012,Floppy iris syndrome                  ,
1571,H2182,Other disorders of iris and ciliary body,other iris/CB disorders,EYE012,Plateau iris syndrome (post-iridectomy) (postprocedural)                ,
1572,H2189,Other disorders of iris and ciliary body,other iris/CB disorders,EYE012,Other specified disorders of iris and ciliary body             ,
1573,H219,Other disorders of iris and ciliary body,other iris/CB disorders,EYE012,Unspecified disorder of iris and ciliary body              ,
1574,H22,Other disorders of iris and ciliary body,other iris/CB disorders,EYE012,Disorders of iris and ciliary body in diseases classified elsewhere           ,Zero cases found with H22.%; <30 monthly cases found for H22%
1575,H25011,Senile cataract,"cataract, age-related",EYE002,"Cortical age-related cataract, right eye                ",
1576,H25012,Senile cataract,"cataract, age-related",EYE002,"Cortical age-related cataract, left eye                ",
1577,H25013,Senile cataract,"cataract, age-related",EYE002,"Cortical age-related cataract, bilateral                 ",
1578,H25019,Senile cataract,"cataract, age-related",EYE002,"Cortical age-related cataract, unspecified eye                ",
1579,H25031,Senile cataract,"cataract, age-related",EYE002,"Anterior subcapsular polar age-related cataract, right eye              ",
1580,H25032,Senile cataract,"cataract, age-related",EYE002,"Anterior subcapsular polar age-related cataract, left eye              ",
1581,H25033,Senile cataract,"cataract, age-related",EYE002,"Anterior subcapsular polar age-related cataract, bilateral               ",
1582,H25039,Senile cataract,"cataract, age-related",EYE002,"Anterior subcapsular polar age-related cataract, unspecified eye              ",
1583,H25041,Senile cataract,"cataract, age-related",EYE002,"Posterior subcapsular polar age-related cataract, right eye              ",
1584,H25042,Senile cataract,"cataract, age-related",EYE002,"Posterior subcapsular polar age-related cataract, left eye              ",
1585,H25043,Senile cataract,"cataract, age-related",EYE002,"Posterior subcapsular polar age-related cataract, bilateral               ",
1586,H25049,Senile cataract,"cataract, age-related",EYE002,"Posterior subcapsular polar age-related cataract, unspecified eye              ",
1587,H25091,Senile cataract,"cataract, age-related",EYE002,"Other age-related incipient cataract, right eye               ",
1588,H25092,Senile cataract,"cataract, age-related",EYE002,"Other age-related incipient cataract, left eye               ",
1589,H25093,Senile cataract,"cataract, age-related",EYE002,"Other age-related incipient cataract, bilateral                ",
1590,H25099,Senile cataract,"cataract, age-related",EYE002,"Other age-related incipient cataract, unspecified eye               ",
1591,H2510,Senile cataract,"cataract, age-related",EYE002,"Age-related nuclear cataract, unspecified eye                ",
1592,H2511,Senile cataract,"cataract, age-related",EYE002,"Age-related nuclear cataract, right eye                ",
1593,H2512,Senile cataract,"cataract, age-related",EYE002,"Age-related nuclear cataract, left eye                ",
1594,H2513,Senile cataract,"cataract, age-related",EYE002,"Age-related nuclear cataract, bilateral                 ",
1595,H2520,Senile cataract,"cataract, age-related",EYE002,"Age-related cataract, morgagnian type, unspecified eye               ",
1596,H2521,Senile cataract,"cataract, age-related",EYE002,"Age-related cataract, morgagnian type, right eye               ",
1597,H2522,Senile cataract,"cataract, age-related",EYE002,"Age-related cataract, morgagnian type, left eye               ",
1598,H2523,Senile cataract,"cataract, age-related",EYE002,"Age-related cataract, morgagnian type, bilateral                ",
1599,H25811,Senile cataract,"cataract, age-related",EYE002,"Combined forms of age-related cataract, right eye              ",
1600,H25812,Senile cataract,"cataract, age-related",EYE002,"Combined forms of age-related cataract, left eye              ",
1601,H25813,Senile cataract,"cataract, age-related",EYE002,"Combined forms of age-related cataract, bilateral               ",
1602,H25819,Senile cataract,"cataract, age-related",EYE002,"Combined forms of age-related cataract, unspecified eye              ",
1603,H2589,Senile cataract,"cataract, age-related",EYE002,Other age-related cataract                  ,
1604,H259,Senile cataract,"cataract, age-related",EYE002,Unspecified age-related cataract                  ,
1605,H26001,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Unspecified infantile and juvenile cataract, right eye              ",
1606,H26002,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Unspecified infantile and juvenile cataract, left eye              ",
1607,H26003,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Unspecified infantile and juvenile cataract, bilateral               ",
1608,H26009,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Unspecified infantile and juvenile cataract, unspecified eye              ",
1609,H26011,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Infantile and juvenile cortical, lamellar, or zonular cataract, right eye           ",
1610,H26012,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Infantile and juvenile cortical, lamellar, or zonular cataract, left eye           ",
1611,H26013,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Infantile and juvenile cortical, lamellar, or zonular cataract, bilateral            ",
1612,H26019,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Infantile and juvenile cortical, lamellar, or zonular cataract, unspecified eye           ",
1613,H26031,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Infantile and juvenile nuclear cataract, right eye              ",
1614,H26032,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Infantile and juvenile nuclear cataract, left eye              ",
1615,H26033,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Infantile and juvenile nuclear cataract, bilateral               ",
1616,H26039,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Infantile and juvenile nuclear cataract, unspecified eye              ",
1617,H26041,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Anterior subcapsular polar infantile and juvenile cataract, right eye            ",
1618,H26042,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Anterior subcapsular polar infantile and juvenile cataract, left eye            ",
1619,H26043,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Anterior subcapsular polar infantile and juvenile cataract, bilateral             ",
1620,H26049,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Anterior subcapsular polar infantile and juvenile cataract, unspecified eye            ",
1621,H26051,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Posterior subcapsular polar infantile and juvenile cataract, right eye            ",
1622,H26052,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Posterior subcapsular polar infantile and juvenile cataract, left eye            ",
1623,H26053,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Posterior subcapsular polar infantile and juvenile cataract, bilateral             ",
1624,H26059,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Posterior subcapsular polar infantile and juvenile cataract, unspecified eye            ",
1625,H26061,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Combined forms of infantile and juvenile cataract, right eye            ",
1626,H26062,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Combined forms of infantile and juvenile cataract, left eye            ",
1627,H26063,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Combined forms of infantile and juvenile cataract, bilateral             ",
1628,H26069,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,"Combined forms of infantile and juvenile cataract, unspecified eye            ",
1629,H2609,Infantile juvenile and presenile cataract,"cataract, infantile/juvenile ",EYE002,Other infantile and juvenile cataract                ,
1630,H26101,Traumatic cataract,"cataract, traumatic",EYE002,"Unspecified traumatic cataract, right eye                ",
1631,H26102,Traumatic cataract,"cataract, traumatic",EYE002,"Unspecified traumatic cataract, left eye                ",
1632,H26103,Traumatic cataract,"cataract, traumatic",EYE002,"Unspecified traumatic cataract, bilateral                 ",
1633,H26109,Traumatic cataract,"cataract, traumatic",EYE002,"Unspecified traumatic cataract, unspecified eye                ",
1634,H26111,Traumatic cataract,"cataract, traumatic",EYE002,"Localized traumatic opacities, right eye                ",
1635,H26112,Traumatic cataract,"cataract, traumatic",EYE002,"Localized traumatic opacities, left eye                ",
1636,H26113,Traumatic cataract,"cataract, traumatic",EYE002,"Localized traumatic opacities, bilateral                 ",
1637,H26119,Traumatic cataract,"cataract, traumatic",EYE002,"Localized traumatic opacities, unspecified eye                ",
1638,H26121,Traumatic cataract,"cataract, traumatic",EYE002,"Partially resolved traumatic cataract, right eye               ",
1639,H26122,Traumatic cataract,"cataract, traumatic",EYE002,"Partially resolved traumatic cataract, left eye               ",
1640,H26123,Traumatic cataract,"cataract, traumatic",EYE002,"Partially resolved traumatic cataract, bilateral                ",
1641,H26129,Traumatic cataract,"cataract, traumatic",EYE002,"Partially resolved traumatic cataract, unspecified eye               ",
1642,H26131,Traumatic cataract,"cataract, traumatic",EYE002,"Total traumatic cataract, right eye                ",
1643,H26132,Traumatic cataract,"cataract, traumatic",EYE002,"Total traumatic cataract, left eye                ",
1644,H26133,Traumatic cataract,"cataract, traumatic",EYE002,"Total traumatic cataract, bilateral                 ",
1645,H26139,Traumatic cataract,"cataract, traumatic",EYE002,"Total traumatic cataract, unspecified eye                ",
1646,H2620,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,Unspecified complicated cataract                  ,
1647,H26211,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Cataract with neovascularization, right eye                ",
1648,H26212,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Cataract with neovascularization, left eye                ",
1649,H26213,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Cataract with neovascularization, bilateral                 ",
1650,H26219,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Cataract with neovascularization, unspecified eye                ",
1651,H26221,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Cataract secondary to ocular disorders (degenerative) (inflammatory), right eye            ",
1652,H26222,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Cataract secondary to ocular disorders (degenerative) (inflammatory), left eye            ",
1653,H26223,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Cataract secondary to ocular disorders (degenerative) (inflammatory), bilateral             ",
1654,H26229,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Cataract secondary to ocular disorders (degenerative) (inflammatory), unspecified eye            ",
1655,H26231,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Glaucomatous flecks (subcapsular), right eye                ",
1656,H26232,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Glaucomatous flecks (subcapsular), left eye                ",
1657,H26233,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Glaucomatous flecks (subcapsular), bilateral                 ",
1658,H26239,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Glaucomatous flecks (subcapsular), unspecified eye                ",
1659,H2630,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Drug-induced cataract, unspecified eye                 ",
1660,H2631,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Drug-induced cataract, right eye                 ",
1661,H2632,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Drug-induced cataract, left eye                 ",
1662,H2633,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Drug-induced cataract, bilateral                  ",
1663,H2640,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,Unspecified secondary cataract                  ,
1664,H26411,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Soemmering's ring, right eye                 ",
1665,H26412,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Soemmering's ring, left eye                 ",
1666,H26413,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Soemmering's ring, bilateral                  ",
1667,H26419,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Soemmering's ring, unspecified eye                 ",
1668,H26491,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Other secondary cataract, right eye                ",
1669,H26492,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Other secondary cataract, left eye                ",
1670,H26493,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Other secondary cataract, bilateral                 ",
1671,H26499,Cataract secondary to ocular disorders,"cataract, secondary",EYE002,"Other secondary cataract, unspecified eye                ",
1672,H268,Other cataract,"cataract, other/unspec",EYE002,Other specified cataract                  ,
1673,H269,Other cataract,"cataract, other/unspec",EYE002,Unspecified cataract                   ,
1674,H2700,Aphakia and other disorders of lens,aphakia,EYE002,"Aphakia, unspecified eye                  ",
1675,H2701,Aphakia and other disorders of lens,aphakia,EYE002,"Aphakia, right eye                  ",
1676,H2702,Aphakia and other disorders of lens,aphakia,EYE002,"Aphakia, left eye                  ",
1677,H2703,Aphakia and other disorders of lens,aphakia,EYE002,"Aphakia, bilateral                   ",
1678,H2710,Aphakia and other disorders of lens,lens dislocation,EYE002,Unspecified dislocation of lens                 ,
1679,H27111,Aphakia and other disorders of lens,lens dislocation,EYE002,"Subluxation of lens, right eye                ",
1680,H27112,Aphakia and other disorders of lens,lens dislocation,EYE002,"Subluxation of lens, left eye                ",
1681,H27113,Aphakia and other disorders of lens,lens dislocation,EYE002,"Subluxation of lens, bilateral                 ",
1682,H27119,Aphakia and other disorders of lens,lens dislocation,EYE002,"Subluxation of lens, unspecified eye                ",
1683,H27121,Aphakia and other disorders of lens,lens dislocation,EYE002,"Anterior dislocation of lens, right eye               ",
1684,H27122,Aphakia and other disorders of lens,lens dislocation,EYE002,"Anterior dislocation of lens, left eye               ",
1685,H27123,Aphakia and other disorders of lens,lens dislocation,EYE002,"Anterior dislocation of lens, bilateral                ",
1686,H27129,Aphakia and other disorders of lens,lens dislocation,EYE002,"Anterior dislocation of lens, unspecified eye               ",
1687,H27131,Aphakia and other disorders of lens,lens dislocation,EYE002,"Posterior dislocation of lens, right eye               ",
1688,H27132,Aphakia and other disorders of lens,lens dislocation,EYE002,"Posterior dislocation of lens, left eye               ",
1689,H27133,Aphakia and other disorders of lens,lens dislocation,EYE002,"Posterior dislocation of lens, bilateral                ",
1690,H27139,Aphakia and other disorders of lens,lens dislocation,EYE002,"Posterior dislocation of lens, unspecified eye               ",
1691,H278,Aphakia and other disorders of lens,other/unspec lens disorder,EYE002,Other specified disorders of lens                ,
1692,H279,Aphakia and other disorders of lens,other/unspec lens disorder,EYE002,Unspecified disorder of lens                 ,
1693,H28,Cataract associated with other disorders,CODE EXCLUDED,EYE002,Cataract in diseases classified elsewhere                ,Zero cases found with H28.%; <30 monthly cases found for H28%
1694,H30001,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Unspecified focal chorioretinal inflammation, right eye               ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1695,H30002,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Unspecified focal chorioretinal inflammation, left eye               ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1696,H30003,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Unspecified focal chorioretinal inflammation, bilateral                ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1697,H30009,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Unspecified focal chorioretinal inflammation, unspecified eye               ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1698,H30011,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Focal chorioretinal inflammation, juxtapapillary, right eye               ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1699,H30012,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Focal chorioretinal inflammation, juxtapapillary, left eye               ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1700,H30013,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Focal chorioretinal inflammation, juxtapapillary, bilateral                ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1701,H30019,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Focal chorioretinal inflammation, juxtapapillary, unspecified eye               ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1702,H30021,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Focal chorioretinal inflammation of posterior pole, right eye             ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1703,H30022,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Focal chorioretinal inflammation of posterior pole, left eye             ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1704,H30023,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Focal chorioretinal inflammation of posterior pole, bilateral              ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1705,H30029,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Focal chorioretinal inflammation of posterior pole, unspecified eye             ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1706,H30031,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Focal chorioretinal inflammation, peripheral, right eye               ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1707,H30032,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Focal chorioretinal inflammation, peripheral, left eye               ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1708,H30033,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Focal chorioretinal inflammation, peripheral, bilateral                ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1709,H30039,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Focal chorioretinal inflammation, peripheral, unspecified eye               ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1710,H30041,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Focal chorioretinal inflammation, macular or paramacular, right eye             ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1711,H30042,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Focal chorioretinal inflammation, macular or paramacular, left eye             ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1712,H30043,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Focal chorioretinal inflammation, macular or paramacular, bilateral              ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
