"Index","ICD.10.Code","Top10","DiagnosisEntity","CCSR.Category","Diagnosis"
"1392","H18.59","Hereditary corneal dystrophies","other hereditary corneal dystrophies ","EYE001","Other hereditary corneal dystrophies                 "
"1393","H18.601","Keratoconus","keratoconus","EYE001","Keratoconus, unspecified, right eye                 "
"1394","H18.602","Keratoconus","keratoconus","EYE001","Keratoconus, unspecified, left eye                 "
"1395","H18.603","Keratoconus","keratoconus","EYE001","Keratoconus, unspecified, bilateral                  "
"1396","H18.609","Keratoconus","keratoconus","EYE001","Keratoconus, unspecified, unspecified eye                 "
"1397","H18.611","Keratoconus","keratoconus","EYE001","Keratoconus, stable, right eye                 "
"1398","H18.612","Keratoconus","keratoconus","EYE001","Keratoconus, stable, left eye                 "
"1399","H18.613","Keratoconus","keratoconus","EYE001","Keratoconus, stable, bilateral                  "
"1400","H18.619","Keratoconus","keratoconus","EYE001","Keratoconus, stable, unspecified eye                 "
"1401","H18.621","Keratoconus","keratoconus","EYE001","Keratoconus, unstable, right eye                 "
"1402","H18.622","Keratoconus","keratoconus","EYE001","Keratoconus, unstable, left eye                 "
"1403","H18.623","Keratoconus","keratoconus","EYE001","Keratoconus, unstable, bilateral                  "
"1404","H18.629","Keratoconus","keratoconus","EYE001","Keratoconus, unstable, unspecified eye                 "
"1405","H18.70","Other corneal deformities","other corneal deformities","EYE001","Unspecified corneal deformity                  "
"1406","H18.711","Other corneal deformities","other corneal deformities","EYE001","Corneal ectasia, right eye                 "
"1407","H18.712","Other corneal deformities","other corneal deformities","EYE001","Corneal ectasia, left eye                 "
"1408","H18.713","Other corneal deformities","other corneal deformities","EYE001","Corneal ectasia, bilateral                  "
"1409","H18.719","Other corneal deformities","other corneal deformities","EYE001","Corneal ectasia, unspecified eye                 "
"1410","H18.721","Other corneal deformities","other corneal deformities","EYE001","Corneal staphyloma, right eye                 "
"1411","H18.722","Other corneal deformities","other corneal deformities","EYE001","Corneal staphyloma, left eye                 "
"1412","H18.723","Other corneal deformities","other corneal deformities","EYE001","Corneal staphyloma, bilateral                  "
"1413","H18.729","Other corneal deformities","other corneal deformities","EYE001","Corneal staphyloma, unspecified eye                 "
"1414","H18.731","Other corneal deformities","other corneal deformities","EYE001","Descemetocele, right eye                  "
"1415","H18.732","Other corneal deformities","other corneal deformities","EYE001","Descemetocele, left eye                  "
"1416","H18.733","Other corneal deformities","other corneal deformities","EYE001","Descemetocele, bilateral                   "
"1417","H18.739","Other corneal deformities","other corneal deformities","EYE001","Descemetocele, unspecified eye                  "
"1418","H18.791","Other corneal deformities","other corneal deformities","EYE001","Other corneal deformities, right eye                "
"1419","H18.792","Other corneal deformities","other corneal deformities","EYE001","Other corneal deformities, left eye                "
"1420","H18.793","Other corneal deformities","other corneal deformities","EYE001","Other corneal deformities, bilateral                 "
"1421","H18.799","Other corneal deformities","other corneal deformities","EYE001","Other corneal deformities, unspecified eye                "
"1422","H18.811","Other corneal disorders","other corneal disorders","EYE001","Anesthesia and hypoesthesia of cornea, right eye              "
"1423","H18.812","Other corneal disorders","other corneal disorders","EYE001","Anesthesia and hypoesthesia of cornea, left eye              "
"1424","H18.813","Other corneal disorders","other corneal disorders","EYE001","Anesthesia and hypoesthesia of cornea, bilateral               "
"1425","H18.819","Other corneal disorders","other corneal disorders","EYE001","Anesthesia and hypoesthesia of cornea, unspecified eye              "
"1426","H18.821","Other corneal disorders","other corneal disorders","EYE001","Corneal disorder due to contact lens, right eye             "
"1427","H18.822","Other corneal disorders","other corneal disorders","EYE001","Corneal disorder due to contact lens, left eye             "
"1428","H18.823","Other corneal disorders","other corneal disorders","EYE001","Corneal disorder due to contact lens, bilateral              "
"1429","H18.829","Other corneal disorders","other corneal disorders","EYE001","Corneal disorder due to contact lens, unspecified eye             "
"1430","H18.831","Other corneal disorders","other corneal disorders","EYE001","Recurrent erosion of cornea, right eye               "
"1431","H18.832","Other corneal disorders","other corneal disorders","EYE001","Recurrent erosion of cornea, left eye               "
"1432","H18.833","Other corneal disorders","other corneal disorders","EYE001","Recurrent erosion of cornea, bilateral                "
"1433","H18.839","Other corneal disorders","other corneal disorders","EYE001","Recurrent erosion of cornea, unspecified eye               "
"1434","H18.891","Other corneal disorders","other corneal disorders","EYE001","Other specified disorders of cornea, right eye              "
"1435","H18.892","Other corneal disorders","other corneal disorders","EYE001","Other specified disorders of cornea, left eye              "
"1436","H18.893","Other corneal disorders","other corneal disorders","EYE001","Other specified disorders of cornea, bilateral               "
"1437","H18.899","Other corneal disorders","other corneal disorders","EYE001","Other specified disorders of cornea, unspecified eye              "
"1438","H18.9","Other corneal disorders","other corneal disorders","EYE001","Unspecified disorder of cornea                 "
"1439","H20.00","Acute and subacute iridocyclitis","anterior uveitis - acute, other/unspec","EYE004","Unspecified acute and subacute iridocyclitis                "
"1440","H20.011","Acute and subacute iridocyclitis","anterior uveitis - acute, primary","EYE004","Primary iridocyclitis, right eye                 "
"1441","H20.012","Acute and subacute iridocyclitis","anterior uveitis - acute, primary","EYE004","Primary iridocyclitis, left eye                 "
"1442","H20.013","Acute and subacute iridocyclitis","anterior uveitis - acute, primary","EYE004","Primary iridocyclitis, bilateral                  "
"1443","H20.019","Acute and subacute iridocyclitis","anterior uveitis - acute, primary","EYE004","Primary iridocyclitis, unspecified eye                 "
"1444","H20.021","Acute and subacute iridocyclitis","anterior uveitis - acute, recurrent","EYE004","Recurrent acute iridocyclitis, right eye                "
"1445","H20.022","Acute and subacute iridocyclitis","anterior uveitis - acute, recurrent","EYE004","Recurrent acute iridocyclitis, left eye                "
"1446","H20.023","Acute and subacute iridocyclitis","anterior uveitis - acute, recurrent","EYE004","Recurrent acute iridocyclitis, bilateral                 "
"1447","H20.029","Acute and subacute iridocyclitis","anterior uveitis - acute, recurrent","EYE004","Recurrent acute iridocyclitis, unspecified eye                "
"1448","H20.031","Acute and subacute iridocyclitis","secondary uveitis - infectious","EYE004","Secondary infectious iridocyclitis, right eye                "
"1449","H20.032","Acute and subacute iridocyclitis","secondary uveitis - infectious","EYE004","Secondary infectious iridocyclitis, left eye                "
"1450","H20.033","Acute and subacute iridocyclitis","secondary uveitis - infectious","EYE004","Secondary infectious iridocyclitis, bilateral                 "
"1451","H20.039","Acute and subacute iridocyclitis","secondary uveitis - infectious","EYE004","Secondary infectious iridocyclitis, unspecified eye                "
"1452","H20.041","Acute and subacute iridocyclitis","secondary uveitis - noninfectious","EYE004","Secondary noninfectious iridocyclitis, right eye                "
"1453","H20.042","Acute and subacute iridocyclitis","secondary uveitis - noninfectious","EYE004","Secondary noninfectious iridocyclitis, left eye                "
"1454","H20.043","Acute and subacute iridocyclitis","secondary uveitis - noninfectious","EYE004","Secondary noninfectious iridocyclitis, bilateral                 "
"1455","H20.049","Acute and subacute iridocyclitis","secondary uveitis - noninfectious","EYE004","Secondary noninfectious iridocyclitis, unspecified eye                "
"1456","H20.051","Acute and subacute iridocyclitis","hypopyon","EYE004","Hypopyon, right eye                  "
"1457","H20.052","Acute and subacute iridocyclitis","hypopyon","EYE004","Hypopyon, left eye                  "
"1458","H20.053","Acute and subacute iridocyclitis","hypopyon","EYE004","Hypopyon, bilateral                   "
"1459","H20.059","Acute and subacute iridocyclitis","hypopyon","EYE004","Hypopyon, unspecified eye                  "
"1460","H20.10","Chronic iridocyclitis","anterior uveitis - chronic","EYE004","Chronic iridocyclitis, unspecified eye                 "
"1461","H20.11","Chronic iridocyclitis","anterior uveitis - chronic","EYE004","Chronic iridocyclitis, right eye                 "
"1462","H20.12","Chronic iridocyclitis","anterior uveitis - chronic","EYE004","Chronic iridocyclitis, left eye                 "
"1463","H20.13","Chronic iridocyclitis","anterior uveitis - chronic","EYE004","Chronic iridocyclitis, bilateral                  "
"1464","H20.20","Other types of iridocyclitis","anterior uveitis - other","EYE004","Lens-induced iridocyclitis, unspecified eye                 "
"1465","H20.21","Other types of iridocyclitis","anterior uveitis - other","EYE004","Lens-induced iridocyclitis, right eye                 "
"1466","H20.22","Other types of iridocyclitis","anterior uveitis - other","EYE004","Lens-induced iridocyclitis, left eye                 "
"1467","H20.23","Other types of iridocyclitis","anterior uveitis - other","EYE004","Lens-induced iridocyclitis, bilateral                  "
"1468","H20.811","Other types of iridocyclitis","anterior uveitis - other","EYE004","Fuchs' heterochromic cyclitis, right eye                "
"1469","H20.812","Other types of iridocyclitis","anterior uveitis - other","EYE004","Fuchs' heterochromic cyclitis, left eye                "
"1470","H20.813","Other types of iridocyclitis","anterior uveitis - other","EYE004","Fuchs' heterochromic cyclitis, bilateral                 "
"1471","H20.819","Other types of iridocyclitis","anterior uveitis - other","EYE004","Fuchs' heterochromic cyclitis, unspecified eye                "
"1472","H20.821","Other types of iridocyclitis","anterior uveitis - other","EYE004","Vogt-Koyanagi syndrome, right eye                 "
"1473","H20.822","Other types of iridocyclitis","anterior uveitis - other","EYE004","Vogt-Koyanagi syndrome, left eye                 "
"1474","H20.823","Other types of iridocyclitis","anterior uveitis - other","EYE004","Vogt-Koyanagi syndrome, bilateral                  "
"1475","H20.829","Other types of iridocyclitis","anterior uveitis - other","EYE004","Vogt-Koyanagi syndrome, unspecified eye                 "
"1476","H20.9","Other types of iridocyclitis","anterior uveitis - other","EYE004","Unspecified iridocyclitis                   "
"1477","H21.00","Vascular disorders of iris and ciliary body","hyphema","EYE012","Hyphema, unspecified eye                  "
"1478","H21.01","Vascular disorders of iris and ciliary body","hyphema","EYE012","Hyphema, right eye                  "
"1479","H21.02","Vascular disorders of iris and ciliary body","hyphema","EYE012","Hyphema, left eye                  "
"1480","H21.03","Vascular disorders of iris and ciliary body","hyphema","EYE012","Hyphema, bilateral                   "
"1481","H21.1X1","Vascular disorders of iris and ciliary body","other iris/CB vascular disorders","EYE012","Other vascular disorders of iris and ciliary body, right eye           "
"1482","H21.1X2","Vascular disorders of iris and ciliary body","other iris/CB vascular disorders","EYE012","Other vascular disorders of iris and ciliary body, left eye           "
"1483","H21.1X3","Vascular disorders of iris and ciliary body","other iris/CB vascular disorders","EYE012","Other vascular disorders of iris and ciliary body, bilateral            "
"1484","H21.1X9","Vascular disorders of iris and ciliary body","other iris/CB vascular disorders","EYE012","Other vascular disorders of iris and ciliary body, unspecified eye           "
"1485","H21.211","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Degeneration of chamber angle, right eye               "
"1486","H21.212","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Degeneration of chamber angle, left eye               "
"1487","H21.213","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Degeneration of chamber angle, bilateral                "
"1488","H21.219","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Degeneration of chamber angle, unspecified eye               "
"1489","H21.221","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Degeneration of ciliary body, right eye               "
"1490","H21.222","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Degeneration of ciliary body, left eye               "
"1491","H21.223","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Degeneration of ciliary body, bilateral                "
"1492","H21.229","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Degeneration of ciliary body, unspecified eye               "
"1493","H21.231","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Degeneration of iris (pigmentary), right eye               "
"1494","H21.232","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Degeneration of iris (pigmentary), left eye               "
"1495","H21.233","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Degeneration of iris (pigmentary), bilateral                "
"1496","H21.239","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Degeneration of iris (pigmentary), unspecified eye               "
"1497","H21.241","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Degeneration of pupillary margin, right eye               "
"1498","H21.242","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Degeneration of pupillary margin, left eye               "
"1499","H21.243","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Degeneration of pupillary margin, bilateral                "
"1500","H21.249","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Degeneration of pupillary margin, unspecified eye               "
"1501","H21.251","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Iridoschisis, right eye                  "
"1502","H21.252","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Iridoschisis, left eye                  "
"1503","H21.253","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Iridoschisis, bilateral                   "
"1504","H21.259","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Iridoschisis, unspecified eye                  "
"1505","H21.261","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Iris atrophy (essential) (progressive), right eye               "
"1506","H21.262","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Iris atrophy (essential) (progressive), left eye               "
"1507","H21.263","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Iris atrophy (essential) (progressive), bilateral                "
"1508","H21.269","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Iris atrophy (essential) (progressive), unspecified eye               "
"1509","H21.271","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Miotic pupillary cyst, right eye                "
"1510","H21.272","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Miotic pupillary cyst, left eye                "
"1511","H21.273","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Miotic pupillary cyst, bilateral                 "
"1512","H21.279","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Miotic pupillary cyst, unspecified eye                "
"1513","H21.29","Degenerations of iris and ciliary body","iris/CB degenerations","EYE012","Other iris atrophy                  "
"1514","H21.301","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Idiopathic cysts of iris, ciliary body or anterior chamber, right eye          "
"1515","H21.302","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Idiopathic cysts of iris, ciliary body or anterior chamber, left eye          "
"1516","H21.303","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Idiopathic cysts of iris, ciliary body or anterior chamber, bilateral           "
"1517","H21.309","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Idiopathic cysts of iris, ciliary body or anterior chamber, unspecified eye          "
"1518","H21.311","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Exudative cysts of iris or anterior chamber, right eye            "
"1519","H21.312","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Exudative cysts of iris or anterior chamber, left eye            "
"1520","H21.313","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Exudative cysts of iris or anterior chamber, bilateral             "
"1521","H21.319","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Exudative cysts of iris or anterior chamber, unspecified eye            "
"1522","H21.321","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Implantation cysts of iris, ciliary body or anterior chamber, right eye          "
"1523","H21.322","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Implantation cysts of iris, ciliary body or anterior chamber, left eye          "
"1524","H21.323","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Implantation cysts of iris, ciliary body or anterior chamber, bilateral           "
"1525","H21.329","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Implantation cysts of iris, ciliary body or anterior chamber, unspecified eye          "
"1526","H21.331","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Parasitic cyst of iris, ciliary body or anterior chamber, right eye          "
"1527","H21.332","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Parasitic cyst of iris, ciliary body or anterior chamber, left eye          "
"1528","H21.333","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Parasitic cyst of iris, ciliary body or anterior chamber, bilateral           "
"1529","H21.339","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Parasitic cyst of iris, ciliary body or anterior chamber, unspecified eye          "
"1530","H21.341","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Primary cyst of pars plana, right eye              "
"1531","H21.342","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Primary cyst of pars plana, left eye              "
"1532","H21.343","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Primary cyst of pars plana, bilateral               "
"1533","H21.349","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Primary cyst of pars plana, unspecified eye              "
"1534","H21.351","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Exudative cyst of pars plana, right eye              "
"1535","H21.352","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Exudative cyst of pars plana, left eye              "
"1536","H21.353","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Exudative cyst of pars plana, bilateral               "
"1537","H21.359","Cysts of iris ciliary body and anterior chamber","iris/CB/anterior chamber cysts","EYE012","Exudative cyst of pars plana, unspecified eye              "
"1538","H21.40","Adhesions and disruptions of iris and ciliary body","iris/CB adhesions/disruptions ","EYE012","Pupillary membranes, unspecified eye                 "
"1539","H21.41","Adhesions and disruptions of iris and ciliary body","iris/CB adhesions/disruptions ","EYE012","Pupillary membranes, right eye                 "
"1540","H21.42","Adhesions and disruptions of iris and ciliary body","iris/CB adhesions/disruptions ","EYE012","Pupillary membranes, left eye                 "
"1541","H21.43","Adhesions and disruptions of iris and ciliary body","iris/CB adhesions/disruptions ","EYE012","Pupillary membranes, bilateral                  "
"1542","H21.501","Adhesions and disruptions of iris and ciliary body","iris/CB adhesions/disruptions ","EYE012","Unspecified adhesions of iris, right eye               "
"1543","H21.502","Adhesions and disruptions of iris and ciliary body","iris/CB adhesions/disruptions ","EYE012","Unspecified adhesions of iris, left eye               "
"1544","H21.503","Adhesions and disruptions of iris and ciliary body","iris/CB adhesions/disruptions ","EYE012","Unspecified adhesions of iris, bilateral                "
"1545","H21.509","Adhesions and disruptions of iris and ciliary body","iris/CB adhesions/disruptions ","EYE012","Unspecified adhesions of iris and ciliary body, unspecified eye            "
"1546","H21.511","Adhesions and disruptions of iris and ciliary body","anterior synechiae (iris)","EYE012","Anterior synechiae (iris), right eye                "
"1547","H21.512","Adhesions and disruptions of iris and ciliary body","anterior synechiae (iris)","EYE012","Anterior synechiae (iris), left eye                "
"1548","H21.513","Adhesions and disruptions of iris and ciliary body","anterior synechiae (iris)","EYE012","Anterior synechiae (iris), bilateral                 "
"1549","H21.519","Adhesions and disruptions of iris and ciliary body","anterior synechiae (iris)","EYE012","Anterior synechiae (iris), unspecified eye                "
"1550","H21.521","Adhesions and disruptions of iris and ciliary body","goniosynechiae","EYE003","Goniosynechiae, right eye                  "
"1551","H21.522","Adhesions and disruptions of iris and ciliary body","goniosynechiae","EYE003","Goniosynechiae, left eye                  "
"1552","H21.523","Adhesions and disruptions of iris and ciliary body","goniosynechiae","EYE003","Goniosynechiae, bilateral                   "
"1553","H21.529","Adhesions and disruptions of iris and ciliary body","goniosynechiae","EYE003","Goniosynechiae, unspecified eye                  "
"1554","H21.531","Adhesions and disruptions of iris and ciliary body","iridodialysis","EYE003","Iridodialysis, right eye                  "
"1555","H21.532","Adhesions and disruptions of iris and ciliary body","iridodialysis","EYE003","Iridodialysis, left eye                  "
"1556","H21.533","Adhesions and disruptions of iris and ciliary body","iridodialysis","EYE003","Iridodialysis, bilateral                   "
"1557","H21.539","Adhesions and disruptions of iris and ciliary body","iridodialysis","EYE003","Iridodialysis, unspecified eye                  "
"1558","H21.541","Adhesions and disruptions of iris and ciliary body","posterior synechiae (iris)","EYE003","Posterior synechiae (iris), right eye                "
"1559","H21.542","Adhesions and disruptions of iris and ciliary body","posterior synechiae (iris)","EYE003","Posterior synechiae (iris), left eye                "
"1560","H21.543","Adhesions and disruptions of iris and ciliary body","posterior synechiae (iris)","EYE003","Posterior synechiae (iris), bilateral                 "
"1561","H21.549","Adhesions and disruptions of iris and ciliary body","posterior synechiae (iris)","EYE003","Posterior synechiae (iris), unspecified eye                "
"1562","H21.551","Adhesions and disruptions of iris and ciliary body","recession of chamber angle","EYE003","Recession of chamber angle, right eye               "
"1563","H21.552","Adhesions and disruptions of iris and ciliary body","recession of chamber angle","EYE003","Recession of chamber angle, left eye               "
"1564","H21.553","Adhesions and disruptions of iris and ciliary body","recession of chamber angle","EYE003","Recession of chamber angle, bilateral                "
"1565","H21.559","Adhesions and disruptions of iris and ciliary body","recession of chamber angle","EYE003","Recession of chamber angle, unspecified eye               "
"1566","H21.561","Adhesions and disruptions of iris and ciliary body","iris/CB adhesions/disruptions ","EYE012","Pupillary abnormality, right eye                 "
"1567","H21.562","Adhesions and disruptions of iris and ciliary body","iris/CB adhesions/disruptions ","EYE012","Pupillary abnormality, left eye                 "
"1568","H21.563","Adhesions and disruptions of iris and ciliary body","iris/CB adhesions/disruptions ","EYE012","Pupillary abnormality, bilateral                  "
"1569","H21.569","Adhesions and disruptions of iris and ciliary body","iris/CB adhesions/disruptions ","EYE012","Pupillary abnormality, unspecified eye                 "
"1570","H21.81","Other disorders of iris and ciliary body","other iris/CB disorders","EYE012","Floppy iris syndrome                  "
"1571","H21.82","Other disorders of iris and ciliary body","other iris/CB disorders","EYE012","Plateau iris syndrome (post-iridectomy) (postprocedural)                "
"1572","H21.89","Other disorders of iris and ciliary body","other iris/CB disorders","EYE012","Other specified disorders of iris and ciliary body             "
"1573","H21.9","Other disorders of iris and ciliary body","other iris/CB disorders","EYE012","Unspecified disorder of iris and ciliary body              "
"1574","H22.","Other disorders of iris and ciliary body","other iris/CB disorders","EYE012","Disorders of iris and ciliary body in diseases classified elsewhere           "
"1575","H25.011","Senile cataract","cataract, age-related","EYE002","Cortical age-related cataract, right eye                "
"1576","H25.012","Senile cataract","cataract, age-related","EYE002","Cortical age-related cataract, left eye                "
"1577","H25.013","Senile cataract","cataract, age-related","EYE002","Cortical age-related cataract, bilateral                 "
"1578","H25.019","Senile cataract","cataract, age-related","EYE002","Cortical age-related cataract, unspecified eye                "
"1579","H25.031","Senile cataract","cataract, age-related","EYE002","Anterior subcapsular polar age-related cataract, right eye              "
"1580","H25.032","Senile cataract","cataract, age-related","EYE002","Anterior subcapsular polar age-related cataract, left eye              "
"1581","H25.033","Senile cataract","cataract, age-related","EYE002","Anterior subcapsular polar age-related cataract, bilateral               "
"1582","H25.039","Senile cataract","cataract, age-related","EYE002","Anterior subcapsular polar age-related cataract, unspecified eye              "
"1583","H25.041","Senile cataract","cataract, age-related","EYE002","Posterior subcapsular polar age-related cataract, right eye              "
"1584","H25.042","Senile cataract","cataract, age-related","EYE002","Posterior subcapsular polar age-related cataract, left eye              "
"1585","H25.043","Senile cataract","cataract, age-related","EYE002","Posterior subcapsular polar age-related cataract, bilateral               "
"1586","H25.049","Senile cataract","cataract, age-related","EYE002","Posterior subcapsular polar age-related cataract, unspecified eye              "
"1587","H25.091","Senile cataract","cataract, age-related","EYE002","Other age-related incipient cataract, right eye               "
"1588","H25.092","Senile cataract","cataract, age-related","EYE002","Other age-related incipient cataract, left eye               "
"1589","H25.093","Senile cataract","cataract, age-related","EYE002","Other age-related incipient cataract, bilateral                "
"1590","H25.099","Senile cataract","cataract, age-related","EYE002","Other age-related incipient cataract, unspecified eye               "
"1591","H25.10","Senile cataract","cataract, age-related","EYE002","Age-related nuclear cataract, unspecified eye                "
"1592","H25.11","Senile cataract","cataract, age-related","EYE002","Age-related nuclear cataract, right eye                "
"1593","H25.12","Senile cataract","cataract, age-related","EYE002","Age-related nuclear cataract, left eye                "
"1594","H25.13","Senile cataract","cataract, age-related","EYE002","Age-related nuclear cataract, bilateral                 "
"1595","H25.20","Senile cataract","cataract, age-related","EYE002","Age-related cataract, morgagnian type, unspecified eye               "
"1596","H25.21","Senile cataract","cataract, age-related","EYE002","Age-related cataract, morgagnian type, right eye               "
"1597","H25.22","Senile cataract","cataract, age-related","EYE002","Age-related cataract, morgagnian type, left eye               "
"1598","H25.23","Senile cataract","cataract, age-related","EYE002","Age-related cataract, morgagnian type, bilateral                "
"1599","H25.811","Senile cataract","cataract, age-related","EYE002","Combined forms of age-related cataract, right eye              "
"1600","H25.812","Senile cataract","cataract, age-related","EYE002","Combined forms of age-related cataract, left eye              "
"1601","H25.813","Senile cataract","cataract, age-related","EYE002","Combined forms of age-related cataract, bilateral               "
"1602","H25.819","Senile cataract","cataract, age-related","EYE002","Combined forms of age-related cataract, unspecified eye              "
"1603","H25.89","Senile cataract","cataract, age-related","EYE002","Other age-related cataract                  "
"1604","H25.9","Senile cataract","cataract, age-related","EYE002","Unspecified age-related cataract                  "
"1605","H26.001","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Unspecified infantile and juvenile cataract, right eye              "
"1606","H26.002","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Unspecified infantile and juvenile cataract, left eye              "
"1607","H26.003","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Unspecified infantile and juvenile cataract, bilateral               "
"1608","H26.009","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Unspecified infantile and juvenile cataract, unspecified eye              "
"1609","H26.011","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Infantile and juvenile cortical, lamellar, or zonular cataract, right eye           "
"1610","H26.012","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Infantile and juvenile cortical, lamellar, or zonular cataract, left eye           "
"1611","H26.013","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Infantile and juvenile cortical, lamellar, or zonular cataract, bilateral            "
"1612","H26.019","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Infantile and juvenile cortical, lamellar, or zonular cataract, unspecified eye           "
"1613","H26.031","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Infantile and juvenile nuclear cataract, right eye              "
"1614","H26.032","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Infantile and juvenile nuclear cataract, left eye              "
"1615","H26.033","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Infantile and juvenile nuclear cataract, bilateral               "
"1616","H26.039","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Infantile and juvenile nuclear cataract, unspecified eye              "
"1617","H26.041","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Anterior subcapsular polar infantile and juvenile cataract, right eye            "
"1618","H26.042","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Anterior subcapsular polar infantile and juvenile cataract, left eye            "
"1619","H26.043","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Anterior subcapsular polar infantile and juvenile cataract, bilateral             "
"1620","H26.049","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Anterior subcapsular polar infantile and juvenile cataract, unspecified eye            "
"1621","H26.051","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Posterior subcapsular polar infantile and juvenile cataract, right eye            "
"1622","H26.052","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Posterior subcapsular polar infantile and juvenile cataract, left eye            "
"1623","H26.053","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Posterior subcapsular polar infantile and juvenile cataract, bilateral             "
"1624","H26.059","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Posterior subcapsular polar infantile and juvenile cataract, unspecified eye            "
